sentence1,sentence2,score
"Tại Pakistan, quân đội kiên quyết chiến đấu với Taliban khác",Quân đội Pak kiên quyết chiến đấu với Taliban khác,4.8
Quân đội Ai Cập đẩy mạnh tấn công những kẻ bắt cóc,Ông Morsi của Ai Cập bác bỏ các cuộc đàm phán khi video bắt giữ con tin xuất hiện,1.4
Người dân Nam Phi thương tiếc khi Mandela được chôn cất,Nam Phi tổ chức quốc tang cho Mandela,2.8
Các nhân chứng nghe thấy 'tiếng nổ lớn' tại Boston Marathon,Báo cáo về hai vụ nổ tại vạch đích của Boston Marathon,3.0
Ô chữ khó hiểu - Thứ Bảy ngày 27 tháng Tư,Ô chữ đố vui - Thứ Bảy ngày 27 tháng Tư,2.8
Đội trưởng Costa Concordia bị xét xử vì tội ngộ sát,Những người sống sót sau Costa Concordia kể chi tiết kinh nghiệm một năm sau đó,1.2
Bộ trưởng Israel đả kích cảnh báo tẩy chay của ông Kerry,Bộ trưởng Israel chỉ trích cảnh báo tẩy chay của ông Kerry,4.6
Dì của Angelina Jolie qua đời vì ung thư vú,Angelina Jolie và sự thật phức tạp về ung thư vú,2.8
Bà Suu Kyi của Myanmar kêu gọi đoàn kết đảng giữa những cuộc tranh cãi,Bà Suu Kyi kêu gọi đoàn kết đảng giữa những tranh cãi,5.0
10 điều cần biết cho thứ Tư,10 điều cần biết cho ngày hôm nay,3.0
"Nhà Trắng, các nhà thầu quốc phòng thảo luận về tác hại của việc cắt giảm chi tiêu tự động","Nhà Trắng, các công ty quốc phòng thảo luận về cắt giảm chi tiêu tự động",4.4
Hugo Chavez của Venezuela qua đời vì ung thư,Tổng thống Venezuela Hugo Chavez qua đời vì ung thư ở tuổi 58,3.8
Cựu tổng thống Zambia bị bắt,Cựu Tổng thống Zambia Rupiah Banda bị bắt,4.0
Thượng viện Mỹ xác nhận bà Yellen là chủ tịch tiếp theo của Fed,Thượng viện Mỹ xác nhận bà Janet Yellen là Giám đốc Ngân hàng Trung ương mới,4.2
26 tù nhân Palestine được thả ra khỏi nhà tù Israel,"Tù nhân Palestine chết vì ung thư, bất ổn trong nhà tù Israel",1.0
Chứng khoán châu Á tăng điểm sau chuỗi dữ liệu lạc quan,Thị trường châu Á tăng nhờ dữ liệu việc làm mạnh mẽ của Mỹ,4.0
"17 người chết, 133 người bị thương trong các vụ đánh bom ở miền bắc Iraq","15 người chết, 90 người bị thương trong các cuộc tấn công mới ở Iraq",2.8
Sĩ quan bị thương ở Ấn Độ biểu tình chống hiếp dâm chết,Cảnh sát Ấn Độ bị thương trong cuộc biểu tình hiếp dâm tập thể thiệt mạng,4.2
Nhận xét về gói cứu trợ Síp báo động thị trường,Tại sao gói cứu trợ Síp không gì khác hơn là đồng euro vô nghĩa thông thường,2.6
Tên phe phái Bianca Ojukwu Lãnh đạo quốc gia APGA,Bianca Ojukwu trở thành lãnh đạo quốc gia APGA,4.2
Mỹ không thể 'xác định dứt khoát' việc sử dụng vũ khí hóa học ở Syria,Mỹ không thấy bằng chứng thuyết phục về việc Syria sử dụng vũ khí hóa học,4.8
Mười hai người thiệt mạng khi các tay súng đột kích làng,Năm người thiệt mạng trong các vụ nổ ở Ấn Độ,0.2
Ai Cập đóng cửa tờ báo Huynh đệ Hồi giáo,Ai Cập: Phó lãnh đạo Huynh đệ Hồi giáo bị bắt,1.4
Trận động đất mạnh ở miền tây Trung Quốc khiến 47 người thiệt mạng,Trận động đất mạnh ở miền tây Trung Quốc khiến ít nhất 75 người thiệt mạng,3.0
Snowden cảm ơn Nga cho tị nạn,Snowden cảm ơn Nga đã cấp tị nạn,5.0
Thượng viện xác nhận bà Yellen là người đứng đầu Fed,Thượng viện Mỹ xác nhận bà Yellen là chủ tịch tiếp theo của Fed,4.2
Lực lượng Pháp chiếm thị trấn quan trọng Mali,Quân Pháp chiếm giữ thị trấn trọng điểm,3.8
Nghi phạm đánh bom Boston bị chôn vùi ở Virginia,Nghi phạm đánh bom Boston được chôn cất tại nghĩa trang Virginia,5.0
Lốc xoáy 'lớn và cực kỳ nguy hiểm' hướng về thành phố Oklahoma,Mẹ và em bé trong số năm người thiệt mạng khi lốc xoáy càn quét khu vực thành phố Oklahoma,1.6
Bộ phim truyền hình con tin kéo dài sau vụ xả súng xe buýt trường học ở Alabama,"Nevada: 2 người chết, 2 người bị thương trong vụ xả súng ở trường trung học cơ sở",0.8
Tổng thống Palestine bổ nhiệm học giả thành lập chính phủ Bờ Tây,Tổng thống Palestine muốn người Israel đàm phán hòa bình,1.8
Malala của Pakistan rời bệnh viện để chờ phẫu thuật,Malala rời bệnh viện Anh,3.6
Hai người được tìm thấy đã chết trong bể bơi tại khách sạn Essex,Người đàn ông và người phụ nữ được tìm thấy đã chết trong bể bơi của khách sạn Essex,4.0
Pakistan lên án cuộc tấn công bằng máy bay không người lái của Mỹ ở khu vực Shawal,Pakistan lên án cuộc tấn công bằng máy bay không người lái của Mỹ ở Miranshah,3.2
Người dân trở lại địa điểm xảy ra vụ nổ ở Texas,Cư dân trở về Fallujah,0.0
Nam Phi cầu nguyện cho Nelson Mandela,Nam Phi hiệp nhất trong lời cầu nguyện và bài hát cho Nelson Mandela,4.2
Ông Ahmadinejad của Iran có thể phải đối mặt với cáo buộc xuất hiện trong cuộc bầu cử với trợ lý,Ahmadinejad có thể phải đối mặt với cáo buộc về sự xuất hiện của cuộc bầu cử,4.2
Miliband cam kết tăng lương tối thiểu,Bồ Đào Nha-Trung Quốc tăng cường quan hệ nghiên cứu khoa học,0.0
"Chứng khoán Singapore đóng cửa thấp hơn 0,44%","Chứng khoán Singapore đóng cửa cao hơn 0,5%",2.6
Tay súng bắn tỉa chờ kết quả kháng cáo,Vinh quang mới cho Trung Quốc trong nỗ lực đổi mới,0.0
Cổ phiếu Apple bị ảnh hưởng nặng nề bởi sự thất vọng của iPhone,Cổ phiếu Apple lao dốc 11% sau thất vọng về thu nhập,3.2
EU gia hạn trừng phạt Zimbabwe,EU dỡ bỏ lệnh trừng phạt kim cương đối với Zimbabwe,3.0
Lãnh thổ Palestine bị chiếm đóng: Người Palestine từ chối kế hoạch đàm phán hòa bình của Mỹ,Lãnh thổ Palestine bị chiếm đóng: Người Palestine phải đối mặt với một con đường đến hư không,1.4
"Chủ sở hữu, những người khác bị buộc tội trong vụ cháy nhà máy Bangladesh",50 người sống sót được tìm thấy trong nhà máy Bangladesh,1.8
Ai Cập chuẩn bị thu hút các nhà đầu tư vùng Vịnh,Ai Cập tìm cách thu hút các nhà đầu tư...,3.4
Mỹ-Nga đạt thỏa thuận về Syria,Mỹ-Nga đạt thỏa thuận về vũ khí Syria,3.4
Palestine và Jordan phối hợp lập trường đàm phán hòa bình,"Cấp cao Hamas phủ nhận Gaza, PA phối hợp đàm phán hòa bình",1.8
Bỏ phiếu bị hủy ở ba tỉnh trong cuộc bầu cử căng thẳng ở Thái Lan,Phe đối lập Campuchia bác bỏ chiến thắng bầu cử của ông Hun Sen,0.0
Obama hủy cuộc gặp ở Moscow với Putin,Obama hủy cuộc gặp với Putin,4.0
Hợp đồng tương lai KLCI giao dịch trái chiều vào giữa ngày,Cổ phiếu KL diễn biến trái chiều giữa ngày,3.6
Nghi phạm tấn công bằng máy bay không người lái của Mỹ khiến 5 người thiệt mạng ở Pakistan,Cuộc tấn công bằng máy bay không người lái của Mỹ giết chết ít nhất mười người ở Pakistan,2.8
Tòa án Ai Cập ra lệnh thả Mubarak,Tòa án Ai Cập bác bỏ yêu cầu trả tự do cho Mubarak,2.0
Ông Hollande 'đe dọa hành động pháp lý' sau cáo buộc ngoại tình,François Hollande đe dọa hành động pháp lý về các cáo buộc ngoại tình,4.0
Những người Iran lưu vong báo cáo cái chết trong trại Iraq,Ít nhất 47 người Iran lưu vong thiệt mạng tại Trại Ashraf của Iraq,3.0
'Blade Runner' Pistorius tranh chấp tội giết người,Cảnh sát Pistorius về bảy tội danh cố ý giết người,2.0
Lực lượng Israel bắt giữ 2 người trong cuộc đột kích bắt giữ Hebron,Uy tín của Israel trên mạng về thách thức hạt nhân Iran,2.25
Người Ai Cập bỏ phiếu về hiến pháp do Hồi giáo hậu thuẫn,'Thẩm phán tại các cuộc bỏ phiếu hướng cử tri về bỏ phiếu hiến pháp Ai Cập',1.4
Mexico tuyên thệ nhậm chức tổng thống giữa các cuộc biểu tình bạo lực,Cựu Thống đốc bang New Mexico Richardson nhấn mạnh lệnh cấm thử nghiệm của Triều Tiên,0.0
Trực thăng rơi gần ga xe lửa ở London,Tai nạn trực thăng ở London,4.0
Thủ đô Indonesia cầu nguyện cho tàu điện ngầm giảm bớt hỗn loạn giao thông,Jakarta cầu nguyện cho tàu điện ngầm giảm bớt hỗn loạn giao thông,3.8
Máy bay Nhật bay vào khu vực phòng thủ mới của Trung Quốc,"Máy bay quân sự Nhật Bản, Hàn Quốc thách thức vùng phòng thủ mới của Trung Quốc",4.0
Những người sống sót sau bão đột kích các cửa hàng ở Philippines,Bão Bopha giết chết 15 người ở S. Philippines,1.2
Bom xe làm bị thương 15 người tại thành trì của Hezbollah ở Lebanon,Bom xe làm rung chuyển thành trì của Hezbollah ở Lebanon,3.2
RF FM kêu gọi phe đối lập Syria hỗ trợ trả tự do ngay lập tức cho tất cả những người nước ngoài bị bắt ở Syria,Ứng cử viên đối lập Hàn Quốc thu hẹp khoảng cách thăm dò,0.6
"Năm người chết, 40 người mất tích trong thảm họa tàu hỏa Canada","8 người chết, 11 người mất tích trong vụ lở đất ở Tây Nam Trung Quốc",0.6
Thượng viện Mỹ xác nhận bà Janet Yellen làm Chủ tịch Cục Dự trữ Liên bang Mỹ (Fed),Thượng viện xác nhận bà Janet Yellen là Chủ tịch Cục Dự trữ Liên bang tiếp theo,4.6
Khan Said được nêu tên là thủ lĩnh Taliban mới của Pakistan sau khi Hakimullah Mehsud thiệt mạng trong cuộc tấn công bằng máy bay không người lái,Thủ lĩnh Taliban Pakistan Hakimullah Mehsud thiệt mạng trong cuộc tấn công bằng máy bay không người lái,3.4
Ít nhất 66 người thiệt mạng trong các vụ nổ bom ở Iraq,Ít nhất 47 người thiệt mạng trong vụ nổ ở Baquba,2.2
Nga phá hủy hơn 75% kho vũ khí hóa học,Anh nhìn thấy bằng chứng Assad có thể sử dụng vũ khí hóa học,1.0
Số người chết vì động đất ở Iran tăng,Số người chết vì con tin Algeria tăng,0.6
Suarez chuẩn bị trở lại Cup,Pháp chuẩn bị cho trận chiến trên bộ Mali,0.8
Maldives ở Ấn Độ quan sát một cuộc bầu cử,Lời khai trong phiên tòa xét xử cựu FM Liberman bắt đầu,0.6
Số người chết tăng lên 6 người khi cơn bão Xaver tàn phá Bắc Âu,"Số người chết do bão tăng lên khi gió, mưa trút xuống phía bắc. Châu Âu",3.2
Pakistan phóng thích tù nhân hàng đầu của Taliban Afghanistan,Pakistan phóng thích bảy chiến binh Taliban Afghanistan,3.6
Phản ứng trái chiều đối với hôn nhân đồng giới ở New Zealand,New Zealand hợp pháp hóa hôn nhân đồng giới,2.2
Nhà dự báo thời tiết truyền hình Fred Talbot bị bắt vì cáo buộc tình dục,Nhà dự báo thời tiết Fred Talbot bị giữ vì 'lạm dụng tình dục',3.8
Cuộc tấn công bằng máy bay không người lái của Mỹ khiến 5 người thiệt mạng ở Pakistan,Cuộc tấn công bằng máy bay không người lái của Pakistan giết chết tới sáu người,3.0
Tòa nhà sụp đổ ở Ấn Độ; 25 người sợ bị mắc kẹt,Ấn Độ sập tòa nhà làm 14 người thiệt mạng; hàng chục người bị mắc kẹt,3.0
Shebab của Somalia nhận trách nhiệm về vụ tấn công trung tâm thương mại Nairobi,Phiến quân Syria nhận trách nhiệm về các vụ giết người ở Lebanon,1.2
Quân đội Syria tiến vào thị trấn chiến lược của phiến quân,Quân đội Syria đẩy mạnh tấn công vào thị trấn do phiến quân kiểm soát,4.0
Israel đồng ý thả tù nhân Palestine,Israel phóng thích thêm 26 tù nhân Palestine,2.8
Hàng chục người thiệt mạng khi đụng độ nổ ra tại cuộc biểu tình của ông Morsi ở Cairo,Hơn 70 người thiệt mạng trong các cuộc đụng độ tại các cuộc biểu tình của ông Morsi ở Ai Cập,3.6
Người biểu tình đối lập Thái Lan bắt đầu đóng cửa Bangkok,Người biểu tình Thái Lan 'đóng cửa' Bangkok,4.8
Tài xế tai nạn tàu hỏa Tây Ban Nha bị thẩm vấn,Tài xế xe lửa Tây Ban Nha Garzon bị thẩm vấn bởi thẩm phán,3.8
Pháp ca ngợi bước đột phá sau thỏa thuận Mỹ-Nga về vũ khí Syria,Pháp hoan nghênh thỏa thuận Mỹ-Nga về Syria,4.0
Binh sĩ ISAF thiệt mạng trong 'cuộc tấn công nội bộ' của Afghanistan,Binh sĩ Anh bị bắn chết trong 'cuộc tấn công nội bộ' của Afghanistan,4.0
Khoảng 60 người bị đè chết trong vụ giẫm đạp ở Bờ Biển Ngà,61 người chết trong vụ giẫm đạp ở Bờ Biển Ngà,3.4
Glasgow Helicopter Crash Search kết thúc,Tai nạn trực thăng Glasgow: Ít nhất sáu người chết,2.8
Ba người chết trong vụ đánh bom marathon của Mỹ,Taliban phủ nhận liên quan đến vụ đánh bom marathon ở Boston,1.2
Du khách Thụy Sĩ bị cưỡng hiếp tập thể ở Ấn Độ,Du khách Thụy Sĩ bị cưỡng hiếp tập thể ở Ấn Độ,5.0
Ấn Độ chuẩn bị cho cơn bão lớn,Ấn Độ ban hành báo động đỏ đối với cơn bão Phailin,2.8
Kỷ luật đối với tay súng sinh viên được cho là đã châm ngòi cho vụ xả súng ở Colorado,Kỷ luật đối với học sinh được cho là chìa khóa cho động cơ,3.4
Nhiều người thiệt mạng trong vụ sập hầm đường bộ ở Nhật Bản,Nhiều người thiệt mạng trong cuộc không kích Syria,1.2
Không có kế hoạch đóng cửa bơm xăng vào ban đêm Moily,Chính phủ Ấn Độ bác bỏ đề xuất đóng cửa máy bơm xăng vào ban đêm,3.8
Bà Clinton sẽ ra điều trần trong tháng này về vụ tấn công Benghazi,"Clinton trở lại làm việc, dự định làm chứng về vụ tấn công Benghazi",3.8
Hàng chục nghìn người Ukraine biểu tình ở Kyiv,Hàng chục ngàn người xếp hàng để bỏ phiếu ở Bhutan,0.6
Ông Karzai thăm Pakistan để đàm phán hòa bình với Taliban,Tổng thống Afghanistan kéo dài chuyến thăm Pakistan để đàm phán với Taliban,3.6
Kẻ trộm cướp chiếc xe lăn tùy chỉnh của vận động viên bơi lội English Channel,Kẻ trộm đánh cắp xe lăn của vận động viên bơi lội Channel,4.0
Ba người chết sau vụ tai nạn xe hơi tại Thiên An Môn,Ba người thiệt mạng trong vụ tai nạn tại Quảng trường Thiên An Môn,4.6
Cổ phiếu Singapore mở cửa thấp hơn vào thứ Sáu,Chứng khoán Singapore mở cửa cao hơn vào thứ Năm,2.2
Obama cam kết khôi phục nền kinh tế,Obama gây sức ép để Quốc hội hành động về kinh tế,2.6
"Hai trận động đất xảy ra ở tây bắc Trung Quốc, 11 người chết",Động đất kép khiến 89 người thiệt mạng ở Trung Quốc,2.4
'Whitey' Bulger bị kết án hai nhiệm kỳ liên tiếp,"Whitey Bulger nhận được cuộc sống cho gian lận, giết người",3.2
Lực lượng Kenya gây sập trung tâm thương mại,Giới chức Kenya nói lực lượng Kenya gây sập trung tâm thương mại,5.0
Nhiệm vụ Pak ở UAE chuẩn bị cho cuộc bầu cử,Các đảng Hồi giáo ở Ai Cập đoàn kết bầu cử,1.4
Bangladesh xây dựng số người chết do thảm họa vượt qua 500,Sập tòa nhà Bangladesh: Số người chết tăng lên 580,3.0
Khủng hoảng con tin Algeria chấm dứt; Số người chết không rõ ràng,Khủng hoảng con tin Algeria kết thúc trong cuộc tắm máu,3.8
Bộ Ai Cập một lần nữa kêu gọi chấm dứt các cuộc biểu tình ủng hộ ông Morsi,Ai Cập: Trẻ em thiệt mạng trong vụ đụng độ ở Cairo sau cuộc biểu tình ủng hộ ông Morsi,2.8
Mandela của Nam Phi được đưa đến bệnh viện,Nam Phi: Mandela vẫn còn trong bệnh viện,3.2
"Nhân dân tệ của Trung Quốc tăng lên 6,2689 so với USD",Nhân dân tệ của Trung Quốc tăng lên mức cao mới so với USD,3.0
Cảnh sát thẩm vấn người đàn ông trong vụ tai nạn lối đi bộ chết người ở LA,Cảnh sát bắt giữ nghi phạm trong vụ tấn công lái xe chết người ở Los Angeles,2.2
Cảnh sát chống bạo động Thổ Nhĩ Kỳ hơi cay biểu tình ở Quảng trường Taksim,Cảnh sát chống bạo động Thổ Nhĩ Kỳ tiến vào Quảng trường Taksim,3.0
Xả súng ở Chicago cho thấy khoảng cách trong chính sách tăng cường,Vụ xả súng ở Chicago cho thấy lỗ hổng trong chính sách tăng cường,5.0
Feds chuyển sang yêu cầu giao tiếp an toàn giữa xe với xe,Guatemala lật ngược bản án diệt chủng của cựu độc tài,0.0
Triều Tiên lảng tránh đề nghị đàm phán,Triều Tiên bắn 2 rocket,1.2
Thái tử Charles 'so sánh Putin với Hitler',Thái tử Charles 'so sánh Vladimir Putin với Adolf Hitler',5.0
Iran cảnh báo can thiệp quân sự vào Iraq,Vụ nổ gần sân bay quân sự Damascus,0.0
Thủ tướng Israel cáo buộc Tổng thống Iran đạo đức giả,Thủ tướng Hy Lạp cáo buộc liên minh đạo đức giả,1.2
Cảnh sát đụng độ với thanh niên ở Cairo sau cuộc biểu tình chống ông Morsi,Ai Cập: Cảnh sát đụng độ với người biểu tình ủng hộ ông Morsi,2.8
Các nhà ngoại giao hàng đầu gặp nhau tại Munich vào thời điểm quan trọng,Các nhà ngoại giao hàng đầu thảo luận về chương trình hạt nhân của Iran,2.4
Snowden 'được Ecuador cấp giấy tờ tị nạn',Snowden sẵn sàng bay khỏi Moscow,1.2
Thông điệp của Chủ tịch Quốc hội nhân Ngày Tự do Báo chí Thế giới,Pakistan kỷ niệm Ngày Tự do Báo chí Thế giới,2.2
Ngoại trưởng EU thảo luận về lệnh cấm vận vũ khí Syria,Ngoại trưởng EU tìm kiếm giải pháp về vũ khí Syria,3.6
Số người chết vì động đất ở Philippines tăng lên 185 người,Số người chết trong trận động đất ở Philippines tăng lên 144 người,3.6
Cổ phiếu cần theo dõi khi đóng cửa vào thứ Hai,Cổ phiếu đáng xem vào thứ Hai,4.0
Máy bay phản lực quân đội tiêu diệt 38 chiến binh trong các cuộc không kích Tây Bắc Pakistan,Máy bay không người lái Mỹ tiêu diệt 4 chiến binh ở Pakistan,3.2
Cảnh sát Ai Cập bắn hơi cay vào người biểu tình ở Cairo,Cảnh sát bắn hơi cay vào người biểu tình ở Cairo,4.0
Philippines giữ thượng nghị sĩ thứ hai về tham nhũng,Philippines phục hồi sau cơn bão mạnh,1.4
Đặc phái viên Đức lạc quan về đàm phán Iran-G5+1,"Iran \""lạc quan một cách thận trọng\"" về các cuộc đàm phán hạt nhân trong tương lai",1.4
Nghệ sĩ guitar flamenco nổi tiếng người Tây Ban Nha Paco De Lucia qua đời,Nghệ sĩ guitar flamenco người Tây Ban Nha Paco de Lucia qua đời ở tuổi 66,4.6
Tàu phá băng Trung Quốc đổi hướng về các vật thể khả nghi,Máy bay tìm kiếm Trung Quốc tìm thấy 'vật thể khả nghi',2.0
Snowden gặp rào cản trong việc tìm kiếm tị nạn,Những cú đánh của Snowden vượt rào trong việc tìm kiếm tị nạn,5.0
Số người chết trong vụ sập tòa nhà ở miền nam Ấn Độ lên tới 47 người,4 người thiệt mạng trong vụ sập tòa nhà ở miền nam Ấn Độ,2.8
Pakistan áp đặt lệnh cấm tạm thời đối với 2 kênh truyền hình,Pakistan bác bỏ vụ kiện chống lại đặc vụ FBI,1.4
Các tù nhân Palestine đến Muqata ở Ramallah,Tù nhân Pakistan bị hành hung trong nhà tù Jammu,1.0
"10 người chết, năm người bị thương trong vụ tai nạn giao thông ở Trung Quốc",5 người bị thương trong vụ tai nạn xe hơi ở thành phố Gaza,1.0
Chính quyền quân sự Thái Lan tập hợp lực lượng an ninh để dập tắt các cuộc biểu tình ở Bangkok,Lực lượng an ninh chính quyền quân sự Thái Lan ở trong doanh trại khi các cuộc biểu tình giảm dần,1.8
Aso từ chối từ chức vì những bình luận của Đức Quốc xã,Thủ tướng Tây Ban Nha từ chối từ chức vì bê bối tham nhũng,0.2
Các vụ nổ giết chết 29 người bên ngoài hai nhà thờ Hồi giáo ở Tripoli của Lebanon,2 vụ nổ thành phố đá ở miền bắc Lebanon,2.0
Máy bay chiến đấu Pakistan ném bom 'nơi ẩn náu của Taliban',Pakistan muốn ngừng cung cấp vũ khí cho phía Syria,1.6
Các tay súng giết chết tám người trong cuộc tấn công Kenya lần thứ hai,Các tay súng 'giết chết 15' trong cuộc tấn công Kenya lần thứ hai,3.0
Mỹ nối lại tìm kiếm thủy thủ Anh mất tích sau khi công khai,Lực lượng bảo vệ bờ biển Mỹ đình chỉ tìm kiếm thủy thủ Anh mất tích,2.4
Các vụ đánh bom của Iraq giết chết ít nhất 13 người,Bom xe Iraq gần nhà thờ giết chết ít nhất 14 người,3.0
Các lực lượng Ai Cập ngăn chặn việc tiếp cận các trại biểu tình của ông Morsi,Các lực lượng Ai Cập di chuyển để giải tán các trại biểu tình ủng hộ ông Morsi,2.4
Tác giả Nobel Doris Lessing qua đời ở tuổi 94,Người đoạt giải Nobel Doris Lessing qua đời ở tuổi 94,5.0
Người đứng đầu đảng đối lập Nhật Bản chỉ trích các chính sách kinh tế của ông Abe,Đảng MDC đối lập của Zimbabwe thách thức chiến thắng bầu cử của Robert Mugabe,0.0
3 nghi phạm bị bắt giữ trong vụ đánh bom Boston,Cảnh sát Boston cho biết 3 người bị bắt giữ trong vụ đánh bom Marathon,4.8
Lãnh đạo phe đối lập Ukraine muốn có thêm biểu tình,Người biểu tình Ukraine lật đổ tượng Lenin,2.4
Nữ hoàng bày tỏ lòng kính trọng đối với Nelson Mandela,Hội huynh đệ bóng bầu dục Nam Phi thương tiếc Mandela,1.0
Sự sụt giảm của thị trường chứng khoán Mỹ vừa phải,Đợt bán tháo công nghệ khiến thị trường chứng khoán châu Á giảm điểm,0.4
"Bạo lực chống Hồi giáo mới nhất ở Miến Điện làm 1 người thiệt mạng, 10 người bị thương",Tóm tắt thế giới | Châu Á: Myanmar: Bạo lực chống Hồi giáo chết người bùng phát,2.6
Nghi phạm tấn công bằng máy bay không người lái của Mỹ khiến 5 người thiệt mạng ở Pakistan,Cuộc tấn công bằng máy bay không người lái của Mỹ khiến 5 người thiệt mạng ở Pakistan,3.8
Ghi chú phải đọc cho Thứ Sáu ngày 24 tháng Năm năm 2013,Ghi chú phải đọc cho Thứ Ba ngày 29 tháng 10 năm 2013,2.0
22 người thiệt mạng trong tai nạn mìn ở tây nam Trung Quốc,"2 người thiệt mạng, hàng chục người bị thương do vụ nổ ở tây nam Pakistan",0.6
Tiếp cận Twitter của NYPD phản tác dụng tồi tệ,Chiến dịch Twitter của NYPD phản tác dụng,4.8
Cuộc tìm kiếm của Thổ Nhĩ Kỳ kết thúc khi những người thợ mỏ mất tích cuối cùng được tìm thấy,Cuộc tìm kiếm của Thổ Nhĩ Kỳ kết thúc khi những người thợ mỏ mất tích cuối cùng được tìm thấy,5.0
Iran dự đoán thất bại của các cuộc đàm phán hòa bình Israel-Palestine,Thỏa thuận dự kiến đạt được để nối lại đàm phán Israel-Palestine - Mỹ,1.4
Olivia Colman giành giải BAFTA thứ hai,Baftas 2013: Olivia Colman nhận hai giải thưởng,4.4
"Titanic Violin Nabs kỷ lục 1,4 triệu USD","Violin Titanic được bán với giá 1,7 triệu USD",3.8
Ankeet Chavan được tại ngoại có điều kiện cho hôn nhân,Ankeet Chavan được tại ngoại để kết hôn,5.0
Đơn đặt hàng đầu tiên của JAL từ Airbus là đòn giáng mạnh vào Boeing,"Japan Airlines đặt mua 31 chiếc Airbus A350 trị giá 9,5 tỷ USD",3.0
Sienna Miller làm chứng tại phiên tòa xét xử hack điện thoại ở Anh,Sienna Miller tấn công báo chí vì 'Äėtitillating'Äô báo cáo tại phiên tòa hack,3.0
Israel tấn công 2 người Palestine ở khu vực Jerusalem,Những người định cư đánh đập người Palestine ở Jerusalem,2.6
EU gia hạn trừng phạt Nga,Nigeria bỏ cáo buộc buôn bán vũ khí đối với các thủy thủ Nga,0.4
"Cuba nhận thấy \""vai trò quan trọng\"" đối với đầu tư nước ngoài",Hạ viện chuẩn bị bỏ phiếu về kế hoạch mở cửa lại chính phủ,0.0
Ngôi sao 'ÄėGlee'Äô Cory Monteith được tìm thấy đã chết trong phòng khách sạn,Cory Monteith được tìm thấy đã chết: Ngôi sao 'ÄėGlee'Äô của Canada 31 tuổi,3.4
"Thủ tướng Lebanon thành lập 'nội các đoàn kết' Thủ tướng Lebanon đã thành lập nội các hơn 10 tháng sau khi nhậm chức, tiếp nhận một loạt các nhóm chính trị sau khi bắc cầu chia rẽ nghiêm trọng","Thủ tướng Lebanon đã thành lập nội các hơn 10 tháng sau khi nhậm chức ngày hôm qua, bao gồm một loạt các nhóm chính trị sau khi thu hẹp sự chia rẽ nghiêm trọng giữa họ",4.6
Tổng thống Iran xuất hiện lần đầu trên sân khấu thế giới,Ứng cử viên tổng thống Iran nói rằng các biện pháp trừng phạt của phương Tây nên được phá vỡ,0.6
Cameron 'không quan tâm' đến thịt halal,Cuộc điều tra sức khỏe cựu chiến binh xác nhận việc che đậy sự chậm trễ chăm sóc,0.0
Người đàn ông cao tuổi nhất thế giới qua đời ở tuổi 116,Người đàn ông già nhất thế giới qua đời ở tuổi 116,4.6
"GM chậm thu hồi, hồ sơ Quốc hội cho thấy",Mobile World Congress Điện thoại thông minh tương lai,0.0
Số người chết trong các vụ đánh bom Lebanon tăng lên 47,1 nghi phạm bị bắt sau vụ đánh bom xe ở Lebanon khiến 45 người thiệt mạng,2.8
Lãnh đạo cực hữu Hy Lạp bị bỏ tù chờ xét xử,Lãnh đạo cực hữu Hy Lạp bị bỏ tù chờ xét xử,5.0
Chủ nhà máy Bangladesh bị bắt khi số người chết gần 350 người,Chủ nhà máy Bangladesh bị bắt,3.2
4 binh sĩ Ai Cập thiệt mạng trong cuộc phục kích ở Sinai,3 binh sĩ Ai Cập thiệt mạng trong vụ đánh bom xe ở Sinai,3.2
Tàu sân bay của Bắc Kinh trở về từ Biển Đông,Trung Quốc điều tàu sân bay đến Biển Đông,2.4
"Tòa án Ai Cập xét xử các vụ kiện chống lại Mubarak, những người Hồi giáo",Tòa án Ai Cập tạm thời phóng thích Mubarak vì lợi ích bất hợp pháp,1.8
Thành công của Moscow ở Crimea có thể dẫn đến việc nước này vẽ lại biên giới phía đông của Ukraine,Merkel: Hành động của Nga có thể dẫn đến thảm họa,2.6
Nelson Mandela qua đời ở tuổi 95,Nelson Mandela qua đời ở tuổi 95,5.0
Vua Bỉ Albert II từ chức để ủng hộ con trai,Vua Bỉ Albert II 'thoái vị',4.2
Thủ lĩnh Gestapo của Đức Quốc xã 'chôn cất tại nghĩa trang Do Thái',Thủ lĩnh Đức Quốc xã được chôn cất trong nghĩa trang Do Thái,4.8
Thụy Sĩ bỏ phiếu về mức lương tối thiểu cao nhất,Thụy Sĩ bỏ phiếu về mức lương tối thiểu cao nhất thế giới,4.6
Kevin Rudd tuyên thệ nhậm chức thủ tướng Úc,Ông Rudd tuyên thệ nhậm chức tân Thủ tướng Australia,5.0
Người biểu tình vùng Donetsk bắt giữ xe tải chở đạn rocket của chính phủ,"Hãy đến đón tôi, lãnh đạo biểu tình Thái Lan nói khi bạo loạn chống chính phủ gia tăng",0.8
Ngôi sao của Easy Rider Karen Black qua đời ở tuổi 74,Nữ diễn viên Easy Rider Karen Black chết vì ung thư,4.2
Bill Roache của Coronation Street bị bắt,Các ngôi sao đường phố đăng quang ca ngợi bộ phim mới 'tuyệt vời',1.2
